Local Authority,Attribute,Financial Year,Sum of Value
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,8004
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,7480
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,7375
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,7864
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,9147
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,7863
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,7248
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,7646
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2014,5800
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2015,5635
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2016,5747
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2017,5748
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2018,6144
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2019,6550
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2020,7683
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2021,6559
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2022,6042
Hyndburn Borough Council,Household dry recycling-reuse (tonnes),2023,6339
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2014,2327
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2015,2207
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2016,2256
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2017,1733
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2018,1232
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2019,1314
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2020,1465
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2021,1304
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2022,1206
Hyndburn Borough Council,Household green recycling-reuse (tonnes),2023,1307
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2014,-12
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2015,4
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2016,0
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2017,0
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2018,16
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2019,67
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2020,86
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2021,703
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2022,669
Hyndburn Borough Council,Local authority collected - estimated rejects (tonnes),2023,696
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,19837
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,20605
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,20855
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,20840
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,20601
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,21177
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,23507
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,23335
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,22502
Hyndburn Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,22743
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,8395
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,8179
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,8319
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,7795
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,7607
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,8278
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,9417
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,8358
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,7470
Hyndburn Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,8057
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2014,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2015,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2016,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2017,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2018,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2019,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2020,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2021,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2022,0
Hyndburn Borough Council,Non-household - estimated rejects (tonnes),2023,0
Hyndburn Borough Council,Non-household - total waste (tonnes),2014,4570
Hyndburn Borough Council,Non-household - total waste (tonnes),2015,4639
Hyndburn Borough Council,Non-household - total waste (tonnes),2016,4821
Hyndburn Borough Council,Non-household - total waste (tonnes),2017,6204
Hyndburn Borough Council,Non-household - total waste (tonnes),2018,6419
Hyndburn Borough Council,Non-household - total waste (tonnes),2019,6668
Hyndburn Borough Council,Non-household - total waste (tonnes),2020,7411
Hyndburn Borough Council,Non-household - total waste (tonnes),2021,7876
Hyndburn Borough Council,Non-household - total waste (tonnes),2022,6294
Hyndburn Borough Council,Non-household - total waste (tonnes),2023,6636
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2014,4302
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2015,4302
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2016,4506
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2017,5889
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2018,6187
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2019,6254
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2020,7141
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2021,7381
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2022,6073
Hyndburn Borough Council,Non-household - waste not sent for recycling (tonnes),2023,6225
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,267
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,337
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,316
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,315
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,231
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,414
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,270
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,495
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,222
Hyndburn Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,411
Hyndburn Borough Council,Total local authority collected waste (tonnes),2014,28232
Hyndburn Borough Council,Total local authority collected waste (tonnes),2015,28784
Hyndburn Borough Council,Total local authority collected waste (tonnes),2016,29174
Hyndburn Borough Council,Total local authority collected waste (tonnes),2017,28635
Hyndburn Borough Council,Total local authority collected waste (tonnes),2018,28208
Hyndburn Borough Council,Total local authority collected waste (tonnes),2019,29455
Hyndburn Borough Council,Total local authority collected waste (tonnes),2020,32924
Hyndburn Borough Council,Total local authority collected waste (tonnes),2021,31692
Hyndburn Borough Council,Total local authority collected waste (tonnes),2022,29972
Hyndburn Borough Council,Total local authority collected waste (tonnes),2023,30800
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2014,33812
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2015,33716
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2016,35944
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2017,40668
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2018,42509
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2019,39926
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2020,31267
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2021,38965
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2022,36133
Lancashire County Council,Household - civic amenity sites (not recycled) (tonnes),2023,62556
Lancashire County Council,Household - estimated rejects (tonnes),2014,2584
Lancashire County Council,Household - estimated rejects (tonnes),2015,5915
Lancashire County Council,Household - estimated rejects (tonnes),2016,6500
Lancashire County Council,Household - estimated rejects (tonnes),2017,9154
Lancashire County Council,Household - estimated rejects (tonnes),2018,8549
Lancashire County Council,Household - estimated rejects (tonnes),2019,5761
Lancashire County Council,Household - estimated rejects (tonnes),2020,8245
Lancashire County Council,Household - estimated rejects (tonnes),2021,29981
Lancashire County Council,Household - estimated rejects (tonnes),2022,29197
Lancashire County Council,Household - estimated rejects (tonnes),2023,13268
Lancashire County Council,Household - other sources (not recycled) (tonnes),2014,26921
