Local Authority,Sex,Statistics,Time period,Indicator Name,Age,Sum of Value
Blackburn with Darwen,Male,Value,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,135.88903
Blackburn with Darwen,Male,Value,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,258
Blackburn with Darwen,Male,Value,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,121.8258
Blackburn with Darwen,Male,Value,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,277.9
Blackburn with Darwen,Male,Value,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,102.01115
Blackburn with Darwen,Male,Value,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,312.1
Blackburn with Darwen,Male,Value,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,72.22062
Blackburn with Darwen,Persons,Count,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,475
Blackburn with Darwen,Persons,Count,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,490
Blackburn with Darwen,Persons,Count,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,510
Blackburn with Darwen,Persons,Count,2013,Mental Health: QOF prevalence,All ages,1880
Blackburn with Darwen,Persons,Count,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,460
Blackburn with Darwen,Persons,Count,2014,Mental Health: QOF prevalence,All ages,1921
Blackburn with Darwen,Persons,Count,2014,Smoking: QOF prevalence,15+ yrs,29048
Blackburn with Darwen,Persons,Count,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,395
Blackburn with Darwen,Persons,Count,2015,Mental Health: QOF prevalence,All ages,2057
Blackburn with Darwen,Persons,Count,2015,Smoking: QOF prevalence,15+ yrs,29338
Blackburn with Darwen,Persons,Count,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,330
Blackburn with Darwen,Persons,Count,2016,Mental Health: QOF prevalence,All ages,2082
Blackburn with Darwen,Persons,Count,2016,Smoking: QOF prevalence,15+ yrs,28628
Blackburn with Darwen,Persons,Count,2016,"Violent crime - sexual offences per 1,000 population",All ages,286
Blackburn with Darwen,Persons,Count,2016,"Violent crime - violence offences per 1,000 population",All ages,2831
Blackburn with Darwen,Persons,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,325
Blackburn with Darwen,Persons,Count,2017,Mental Health: QOF prevalence,All ages,2205
Blackburn with Darwen,Persons,Count,2017,Reoffending levels: percentage of offenders who reoffend,All ages,466
Blackburn with Darwen,Persons,Count,2017,Smoking: QOF prevalence,15+ yrs,27834
Blackburn with Darwen,Persons,Count,2017,"Violent crime - sexual offences per 1,000 population",All ages,360
Blackburn with Darwen,Persons,Count,2017,"Violent crime - violence offences per 1,000 population",All ages,3673
Blackburn with Darwen,Persons,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,345
Blackburn with Darwen,Persons,Count,2018,Mental Health: QOF prevalence,All ages,2276
Blackburn with Darwen,Persons,Count,2018,Reoffending levels: percentage of offenders who reoffend,All ages,478
Blackburn with Darwen,Persons,Count,2018,Smoking: QOF prevalence,15+ yrs,27575
Blackburn with Darwen,Persons,Count,2018,"Violent crime - sexual offences per 1,000 population",All ages,394
Blackburn with Darwen,Persons,Count,2018,"Violent crime - violence offences per 1,000 population",All ages,4945
Blackburn with Darwen,Persons,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,380
Blackburn with Darwen,Persons,Count,2019,Mental Health: QOF prevalence,All ages,2318
Blackburn with Darwen,Persons,Count,2019,Reoffending levels: percentage of offenders who reoffend,All ages,420
Blackburn with Darwen,Persons,Count,2019,Smoking: QOF prevalence,15+ yrs,27353
Blackburn with Darwen,Persons,Count,2019,"Violent crime - sexual offences per 1,000 population",All ages,525
Blackburn with Darwen,Persons,Count,2019,"Violent crime - violence offences per 1,000 population",All ages,7051
Blackburn with Darwen,Persons,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,385
Blackburn with Darwen,Persons,Count,2020,Mental Health: QOF prevalence,All ages,2185
Blackburn with Darwen,Persons,Count,2020,Reoffending levels: percentage of offenders who reoffend,All ages,412
Blackburn with Darwen,Persons,Count,2020,Smoking: QOF prevalence,15+ yrs,27323
Blackburn with Darwen,Persons,Count,2020,"Violent crime - sexual offences per 1,000 population",All ages,419
Blackburn with Darwen,Persons,Count,2020,"Violent crime - violence offences per 1,000 population",All ages,6263
Blackburn with Darwen,Persons,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,385
Blackburn with Darwen,Persons,Count,2021,Mental Health: QOF prevalence,All ages,2231
Blackburn with Darwen,Persons,Count,2021,Reoffending levels: percentage of offenders who reoffend,All ages,295
Blackburn with Darwen,Persons,Count,2021,Smoking: QOF prevalence,15+ yrs,26585
Blackburn with Darwen,Persons,Count,2021,"Violent crime - sexual offences per 1,000 population",All ages,384
Blackburn with Darwen,Persons,Count,2021,"Violent crime - violence offences per 1,000 population",All ages,5830
Blackburn with Darwen,Persons,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,350
Blackburn with Darwen,Persons,Count,2022,Mental Health: QOF prevalence,All ages,2229
Blackburn with Darwen,Persons,Count,2022,Reoffending levels: percentage of offenders who reoffend,All ages,345
Blackburn with Darwen,Persons,Count,2022,Smoking: QOF prevalence,15+ yrs,25919
Blackburn with Darwen,Persons,Count,2022,"Violent crime - sexual offences per 1,000 population",All ages,508
Blackburn with Darwen,Persons,Count,2022,"Violent crime - violence offences per 1,000 population",All ages,6856
Blackburn with Darwen,Persons,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,290
Blackburn with Darwen,Persons,Count,2023,Mental Health: QOF prevalence,All ages,2458
Blackburn with Darwen,Persons,Count,2023,Reoffending levels: percentage of offenders who reoffend,All ages,359
Blackburn with Darwen,Persons,Count,2023,Smoking: QOF prevalence,15+ yrs,25049
Blackburn with Darwen,Persons,Count,2023,"Violent crime - sexual offences per 1,000 population",All ages,501
Blackburn with Darwen,Persons,Count,2023,"Violent crime - violence offences per 1,000 population",All ages,5917
Blackburn with Darwen,Persons,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,215
Blackburn with Darwen,Persons,Count,2024,Mental Health: QOF prevalence,All ages,2255
Blackburn with Darwen,Persons,Count,2024,Reoffending levels: percentage of offenders who reoffend,All ages,417
Blackburn with Darwen,Persons,Count,2024,Smoking: QOF prevalence,15+ yrs,24255
Blackburn with Darwen,Persons,Count,2024,"Violent crime - sexual offences per 1,000 population",All ages,460
Blackburn with Darwen,Persons,Count,2024,"Violent crime - violence offences per 1,000 population",All ages,5769
Blackburn with Darwen,Persons,Count,2025,Mental Health: QOF prevalence,All ages,2500
Blackburn with Darwen,Persons,Count,2025,Smoking: QOF prevalence,15+ yrs,23323
Blackburn with Darwen,Persons,Count,2025,"Violent crime - sexual offences per 1,000 population",All ages,484
Blackburn with Darwen,Persons,Count,2025,"Violent crime - violence offences per 1,000 population",All ages,5901
Blackburn with Darwen,Persons,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,440820
Blackburn with Darwen,Persons,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,443155
Blackburn with Darwen,Persons,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,445337
Blackburn with Darwen,Persons,Denominator,2013,Mental Health: QOF prevalence,All ages,169467
Blackburn with Darwen,Persons,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,447259
Blackburn with Darwen,Persons,Denominator,2014,Mental Health: QOF prevalence,All ages,169322
Blackburn with Darwen,Persons,Denominator,2014,Smoking: QOF prevalence,15+ yrs,129783
Blackburn with Darwen,Persons,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,449217
Blackburn with Darwen,Persons,Denominator,2015,Mental Health: QOF prevalence,All ages,170216
Blackburn with Darwen,Persons,Denominator,2015,Smoking: QOF prevalence,15+ yrs,130648
Blackburn with Darwen,Persons,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,451566
Blackburn with Darwen,Persons,Denominator,2016,Mental Health: QOF prevalence,All ages,172036
Blackburn with Darwen,Persons,Denominator,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,419
Blackburn with Darwen,Persons,Denominator,2016,Smoking: QOF prevalence,15+ yrs,136427
Blackburn with Darwen,Persons,Denominator,2016,"Violent crime - sexual offences per 1,000 population",All ages,149600
Blackburn with Darwen,Persons,Denominator,2016,"Violent crime - violence offences per 1,000 population",All ages,149600
Blackburn with Darwen,Persons,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,454299
Blackburn with Darwen,Persons,Denominator,2017,Mental Health: QOF prevalence,All ages,173797
Blackburn with Darwen,Persons,Denominator,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,390
Blackburn with Darwen,Persons,Denominator,2017,Reoffending levels: percentage of offenders who reoffend,All ages,1549
Blackburn with Darwen,Persons,Denominator,2017,Smoking: QOF prevalence,15+ yrs,137809
Blackburn with Darwen,Persons,Denominator,2017,"Violent crime - sexual offences per 1,000 population",All ages,150500
Blackburn with Darwen,Persons,Denominator,2017,"Violent crime - violence offences per 1,000 population",All ages,150500
Blackburn with Darwen,Persons,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,456596
Blackburn with Darwen,Persons,Denominator,2018,Mental Health: QOF prevalence,All ages,181165
Blackburn with Darwen,Persons,Denominator,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,404
Blackburn with Darwen,Persons,Denominator,2018,Reoffending levels: percentage of offenders who reoffend,All ages,1544
Blackburn with Darwen,Persons,Denominator,2018,Smoking: QOF prevalence,15+ yrs,143885
Blackburn with Darwen,Persons,Denominator,2018,"Violent crime - sexual offences per 1,000 population",All ages,151500
Blackburn with Darwen,Persons,Denominator,2018,"Violent crime - violence offences per 1,000 population",All ages,151500
Blackburn with Darwen,Persons,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,459165
Blackburn with Darwen,Persons,Denominator,2019,Mental Health: QOF prevalence,All ages,184069
Blackburn with Darwen,Persons,Denominator,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,384
