Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Fylde,10 percentile,Part Time Workers,Hourly pay - gross,Value,20.42
Great Britain,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,1
Great Britain,10 percentile,Part Time Workers,Hourly pay - gross,Value,138.97
Hyndburn,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,23
Hyndburn,10 percentile,Part Time Workers,Hourly pay - gross,Value,18.71
Lancaster,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,70.3
Lancaster,10 percentile,Part Time Workers,Hourly pay - gross,Value,112.18
North West,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,7.6
North West,10 percentile,Part Time Workers,Hourly pay - gross,Value,138.1
Pendle,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,29.4
Pendle,10 percentile,Part Time Workers,Hourly pay - gross,Value,34.15
Preston,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,49.7
Preston,10 percentile,Part Time Workers,Hourly pay - gross,Value,122.25
Ribble Valley,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,7.4
Ribble Valley,10 percentile,Part Time Workers,Hourly pay - gross,Value,7.83
South Ribble,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,90.6
South Ribble,10 percentile,Part Time Workers,Hourly pay - gross,Value,95.31
West Lancashire,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,88.8
West Lancashire,10 percentile,Part Time Workers,Hourly pay - gross,Value,84.34
Wyre,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,44.9
Wyre,10 percentile,Part Time Workers,Hourly pay - gross,Value,75.37
Blackburn with Darwen,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,45
Blackburn with Darwen,10 percentile,Part Time Workers,Weekly pay - gross,Value,182.8
Blackpool,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,90
Blackpool,10 percentile,Part Time Workers,Weekly pay - gross,Value,413.9
Chorley,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,154
Chorley,10 percentile,Part Time Workers,Weekly pay - gross,Value,428.5
Great Britain,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,18.3
Great Britain,10 percentile,Part Time Workers,Weekly pay - gross,Value,1097.7
Lancaster,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,34
Lancaster,10 percentile,Part Time Workers,Weekly pay - gross,Value,115.5
North West,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,51.8
North West,10 percentile,Part Time Workers,Weekly pay - gross,Value,1114.5
Preston,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,155
Preston,10 percentile,Part Time Workers,Weekly pay - gross,Value,490
South Ribble,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,73
South Ribble,10 percentile,Part Time Workers,Weekly pay - gross,Value,220.7
West Lancashire,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,19
West Lancashire,10 percentile,Part Time Workers,Weekly pay - gross,Value,36.7
